大家好,我是陪我APP创始人孙宇晨。我想邀你一起与我踏上财富自由革命之路。我在财富自由的另一边,等着你。
请不吝点赞 订阅 转发 打赏支持明镜与点点栏目
如果说买房子还值得讲一讲的话,90后不买车我觉得是更简单,其实根本不需要怎么说的。
但是我今天就是接下来的这一两周啊,我们会就详细的就整个共享经济啊,给大家好好讲讲我们的观点,也算是一个收尾和总结啊,也是对共享经济的一个点评收尾和总结。
首先呢,大家知道90后不买车这个想法呢,原因呢。
其实很简单了,因为车呢,我们认为是一种车,尤其自己买车养车是一种非常糟糕的选择。
首先呢,从投资的意义上来说是一场灾难,因为我们大家也知道,即便我这种开公司的人买车其实挺便宜的,因为大家知道我们买车可以抵扣增值税,就是本真已经,已经其实我们是比大家买车要便宜的多的。
当然这一点暴露了孙总其实挺有钱的,每年要给国家纳很多税啊。
我都的确,
我现在是确实没买车,
但我最近有可能在思考是要不要买啊,
因为有时候我可能跟大家的不一样,
因为我虽然是个90后代,
也是个公司的CEO嘛,
我们公司有时候事情太多了啊,
有时候有辆车呢,
的确有可能会方便一点,
因为可能我们公司也顾得起人专人去管这辆车嘛,
然后他专人去管这辆车,
加上车的工资,
最后对公司的整体效用,
如果大于我们的投入,
可能我还是会买的,
但是如果我个人啊,
孙宇晨这个个人啊,
我基本上是绝对不会买的,
这是一个预告,
我们现在来讲讲核心的买车的几大问题吧,
第一个问题我们觉得就是上下班特别拥堵,
因为买的车你总得开吧,
开车在北上广深行这样的一线城市,
甚至二线城市,
堵车基本是个必修课,
那这时候买车的弊病就出来了,
首先一如果你是共享经济,
哪怕是打车呢,
其实你上班拥堵的时候可以干非常多的事情,
我经常有时候去北京东边办事,
因为我自己是共享经济是打车的,
所以我可以一路上跟公司员工把会开完,
把工作布置完,
把所有的公司需要问我的事情都问完啊,
然后把工作布置完,
把所有的公司需要问我的事情都问完啊,
然后把工作布置完,
把所有的公司需要问我的事情都问完啊,
然后把工作布置完,
把公司的例会很多东西都可以开完,
都可以做完,
基本上打车过去的一个钟头到两个钟头的时间,
我可以处理非常多的事情,
而且这种时候我也可以充分的集中我的注意力去处理这些事情,
你说如果你敢在车上开车的时候处理人家小心啊,
我就不要,
我不鼓励任何人自己开车的时候去处理这些事情啊,
安全还是第一位啊,
安全还是第一位,
这个风险实在是太大了,
所以呢这时候你共享经济的好处,
好处就来了,
其次我现在一般从来你看我前来不买房不买车,
所以我从来都是把房子租在离公司只有五分钟上下班的地方啊,
宁愿稍微贵一点,
但是我觉得我可以承受,
因为时间成本以及交通成本以及养车的成本,
这些成本加起来已经远远足够我在周边租一个非常好的房子了,
甚至租两套是吧,
住一套空一套都已经值了,
所以呢,
我觉得上下班拥堵这个问题通过共享经济能帮你其实省很多钱和时间,
其次当然我觉得从这个其实我是不怎么掰硬这个理由的,
但是说一说也可以,
就是说如果买车也不环保吗,
不环保啊,
大家这么想,
我们并不是非常中二的在这教育大家说哎呀,
就是大家都要当小天使啊,
是吧,
共同去维护我们美好的家园啊,
我们已经过了这个阶段了,
主要是不环保,
环保政府会收很多税来惩罚你呢,
因为我们也知道环保不只要有部门去养着这个部门啊,
环保的各项举策,
所有人要养着他们啊,
那养着他们很简单,
那就要国家就会像任何他认为不环保的地方要征收惩罚性税收和惩罚性收费的,
而如果你做了不环保的行为,
你当然就会被列入这个征收惩罚性的范围之内,
所以呢,
你就会交钱嘛,
所以如果你是一个环保的人啊,
你就不用交这些费用,
所以从这个角度来说,
一方面爱护我们的地球吧,
一方面从不交钱的角度,
这个买车你你也会受到惩罚,
第三,
其实就像我刚才讲的了,
买车花费大量的时间精力,
无论是加油啊,
停车啊,
尤其是停车了,
其实如果是自己开车,
现在在北京,
你至少要打出20分钟的提前量,
为什么,
因为到那个地方可能你找停车的得找半天,
而且停车停车费其实也挺贵,
第四呢,
就是我们经常看这个人的买车的需求是什么样的需求,
很有可能是面子需求了,
因为我们买车要彰显我们的身份地位的象征,
可能要买甚至超出我们的可用范围之内的车,
这时候我们可能要想一想,
我们买车本身到底是为了什么呢,
那就跟我们说,
跟我们前面买房子是一个道理,
到底是为了什么,
如果买房子是一个切实的投资行为,
那我觉得车其实也是一个经济行为,
我们有时候叫梳理,
为什么我没买车,
因为我觉得我们公司能不能谈成生意,
能不能做成,
其实对方也都是很精的,
他也不会为我的面子买单啊,
对吧,
绝大多数如果我们的公司的这种所谓的面子工程吧,
已经通过我自己的个人形象已经解决了的话,
我觉得完全没有必要通过买车,
来解决,
所以这是我们为什么早些年创业的时候,
从来都不买车的一个核心原因,
当然了,
其实还有一个原因就是,
我在北京现在想买车也买不了,
北京还有个摇号的问题,
所以呢,
其实现在想买也买不了,
真是这样,
当然了,
其实我如果真想买去租一个号,
其实也不是太贵,
就租一个牌也不是很贵啊,
其实,
但是经过我们刚才的分析啊,
我觉得买是没有任何意义,
我可以举一个我自己的案例,
我在一道用车充值充的最猛的时候,
大概充了八万块钱,
一道用车送了我十万,
所以我一共有十八万的坐车的经费,
然后一道用车还送了我两台电视机,
我那两台电视机现在一台挂在家里,
一台挂在公司,
还送了我非常多东西,
送了一台乐视手机,
送了一堆券,
所以我觉得还是真的是很划算,
我现在一道用车这个账号也已经用了,
基本18个月了,
我觉得基本满足了我所有的用车需求,
而且每个月大概也就在三四千的消耗左右,
三四千大家要注意,
这还可以打打四点五折的,
这样的话相当于一个月才花了两千多块钱,
满足了我,
我一般出门,
而且都是如果商务场合都可以打奥迪A6啊,
包车都包一天的,
其实真是花不了什么钱,
从一道用车的例子上来说啊,
我个人觉得共享经济基本是解决整个固定资产逃避,
投入的一个非常完美的解决方案,
这里再给大家安利一下我自己的一个事情啊,
就是我个人其实从这个角度呢,
觉得有一个商机是一直存在的,
看你怎么看它了,
就是我个人认为用共享经济解决一切的固定资产投入非常大的,
都是一个很好的创业机会,
所以你看车房,
都诞生了像Airbnb啊,
诞生了像滴滴打车这样的一个非常大的巨头企业,
我们现在看其他的共享,
包括58到家的阿姨,
像58转转以及咸鱼这些共享经济啊,
以及包括现在甚至有一个比较虚拟化的趋势,
比方像知乎这样的知乎live这样的虚拟化的讲座的趋势,
反正是这些我们认为以前是很大投入的奢侈的事情,
慢慢都会被共享经济把它的价格门槛大幅降低了,
我前面一直跟张恒德,
就是也是我的湖畔同学,
住板家张恒德,
我们也一直在想看看能不能有什么方式,
能够让租房的人过得更加体面吗,
把租房变成一个更好的生活方式,
其实这件事情我们一直在讨论,
我明天还会去跟张恒德聊一聊,
看看我们怎么把这个事情启动,
到时候也回来,
欢迎大家关注吧,
当然如果很有可能失败,
如果失败的话只能看下一个人来帮帮我们了,
我就只能当用户了。
感谢观看
