episode,id,title,source,level,severity,line_count,char_count,sha256,verdict,top_issue,top_issue_location,top_issue_sample
020,wavlake-mp3__020__08dd87ba,020 孙宇晨：财富自由、互联网、道德变化,wavlake-mp3,low,21,256,3833,2f5acdeab8682abfac124f18fcda17313dd490825c08f72b36ab0c4a85e3e7cb,低风险留痕,近似重复,L1-L2,"大家好,我是陪我APP创始人孙宇晨,我想邀你一起与我踏上财富自由革命之路,我在财富自由的另一边等着你。"
021,official-vimeo-m4a-partial__021__eaa9b1ef,课程大纲讲解续二 [1179693830],official-vimeo-m4a-partial,low,16,36,4978,d7706d80fd8e1b08cc4611bb1c4a6f25f315dc522f70da389cef704baef2b200,低风险留痕,行内循环,L14,当然大家一听也知道，我们的观念是和解，不是斗争啊，不是叫你回家去斗争，把你们家斗得鸡飞狗跳，这不是我们的初衷哈，你也千万不要这么做啊，你不要这么做了之后来找我说。孙总听了你的，结果现在我跟我爸我妈闹掰了，我操。这个不是我们需要的啊，这一定要
022,wavlake-mp3__022__05b72a7e,022 孙宇晨：穷人思维下的教育问题,wavlake-mp3,low,20,37,4457,9739b4321cee534ca2b83056341021235babff149f1a5adfd91356f19ff909f7,低风险留痕,行内循环,L13,"也是非常复杂的,都不是一两句话能讲清楚的,是一个非常复杂的过程,但是老百姓不,老百姓说no no no,这些我都不接受,你只要一给我谈到复杂因素,我觉得这不公平,你们monitor太多,妈的不行,哥,必须选一个最简单的,最简单的,老百姓说那"
023,wavlake-mp3__023__b938f558,023 孙宇晨：成功与思维模式,wavlake-mp3,low,4,40,3622,e27868f158ad4005948a698306ff4d08b9676834a36849a5b67ca3c693fe2d78,低风险留痕,行内循环,L15,"但是好玩了,即便我们退一半步,我们就按老百姓的思维来,来来来,我们说你说的都是对的,那你就按他的作品。"
024,official-vimeo-m4a-partial__024__96b6533f,九零后新时代 [1179694797],official-vimeo-m4a-partial,clean,0,28,3465,09c560591a7bfa503ecb02e21940a873159733392ae1c587524fddd67acbc31f,未见明显风险,,,
025,official-vimeo-m4a-partial__025__5b4cc5d1,未来社会的演变 [1179695011],official-vimeo-m4a-partial,medium,32,283,3802,15080b1a8a709486fd4f397b30d7ca479b0ba18e0641a52b97cd1802407e5c3d,需人工复核,连续重复,L146-L148,社区会落后
026,wavlake-mp3__026__761d3894,026 孙宇晨：金钱与自由,wavlake-mp3,low,18,131,3301,1b2871f24b92c870bb434033bb54a115accdda735327ac89faa2c3edfc34e5c5,低风险留痕,连续重复,L128-L131,"谢谢大家,"
027,official-vimeo-m4a-partial__027__5309b3f0,川普为什么赢 [1179695544],official-vimeo-m4a-partial,low,4,393,9520,5cb3cab956947ff1548c3284863e739be3e20d2a4f9493e41ca9535455b25f50,低风险留痕,行内循环,L369,是在煽动美国已经有的这种种种对立。
028,official-vimeo-m4a-partial__028__ed75399c,背负家庭的女孩 [1179695788],official-vimeo-m4a-partial,clean,0,41,1126,4c623edd5276822f3805c55a7f7282989ef4e32f4127be18c0e58cd88e5b6068,未见明显风险,,,
029,official-vimeo-m4a-partial__029__bea15de4,子女与父母的关系 [1179696163],official-vimeo-m4a-partial,low,18,305,3873,239e3663e56dfca9bbae7dd50a4801a73e046b8e7880a5cf039beb9fed6b2535,低风险留痕,连续重复,L229-L230,"怎么能这样呢,"
030,official-vimeo-m4a-partial__030__3e990640,一个男孩儿的自我救赎 [1179722655],official-vimeo-m4a-partial,clean,0,172,4053,ae426447ba3a93424fa7d81e6e0a449b82026e490c1786cd3bf205acd8452d15,未见明显风险,,,
031,official-vimeo-m4a-partial__031__d398abc0,如何利用好你的100万 [1179724042],official-vimeo-m4a-partial,low,18,67,2301,a7444939c11e074773d35b2303b905f3d9fac63182639b4e4ebdd4909ff5f607,低风险留痕,连续重复,L38-L41,"但是呢,后来从来没有了。"
032,official-vimeo-m4a-partial__032__2714f2f9,布雷顿森林体系的建立与崩塌 [1179724265],official-vimeo-m4a-partial,clean,0,426,3955,c06458a214a3e1cc0b553426c694c8626dc56ce5a2c77b515dda723853ab2411,未见明显风险,,,
033,wavlake-mp3__033__3202b3ed,033 孙宇晨：通缩与通胀的经济影响,wavlake-mp3,clean,0,33,4531,bd74e0a0b95d9aec8811b7b645039f4932c0aa5cabc24a0143125e102e799f18,未见明显风险,,,
034,official-vimeo-m4a-partial__034__218fa17b,扩大你的“可控”负债是好事 [1179724607],official-vimeo-m4a-partial,low,13,89,2988,8a2be3058364654d7243e05bb6e7f0bd9312e0e3402046b3354f8dd87982b338,低风险留痕,近似重复,L1-L2,"大家好,我是陪我APP创始人孙宇晨,我想邀你一起与我踏上财富自由革命之路,我在财富自由的另一边等着你。"
035,official-vimeo-m4a-partial__035__32eb4cfc,【番外】书评：冰与火之歌 [1179724815],official-vimeo-m4a-partial,low,17,98,11052,352a3ccfa01f2904029e3ee22198645b4f604919d3dbd442bb3408121021df38,低风险留痕,近似重复,L33-L34,"所以一开始呢,很多人对于游戏的理解,对于格局的制定,就决定了你的历史地位与你的属性,所以这也是为什么我们经常说的叫做。"
036,official-vimeo-m4a-partial__036__6c5b57fc,【全球流动性过剩】通过加“杠杆”来增加财富 [1179724973],official-vimeo-m4a-partial,low,4,153,5746,7c572e3e9319d383fbfb5949be6ef0ae24c3411378caa144de0c93037bf75fad,低风险留痕,行内循环,L88,这样我就我我我当时还挺惊讶的我想这种银行啊就是一般都不给这种初创企业贷款的吗就怕我们还不起跑路了啊
037,official-vimeo-m4a-partial__037__6c4df868,【全球流动性过剩】时代呼唤激进而非保守 [1179725133],official-vimeo-m4a-partial,clean,0,376,3633,3b4eeb4e4796b61040c003a8e7914b89427d44fee7f63383eedf10d0d92002e9,未见明显风险,,,
038,official-vimeo-m4a-partial__038__116300b9,【全球流动性过剩】什么是自由意志主义？ [1179725320],official-vimeo-m4a-partial,low,4,52,4406,e75a6a20225cc50b67937bedf85ece77df3b9a2e71b04e4b96f4acd9aad15674,低风险留痕,行内循环,L48,"的方式重现在现实中,并且能被他人所理解,并做出情绪化反应的物理形式啊,就是艺术品啊,啊,讲起来很有点复杂,我们也解释一下,啊,其实就是啊,阿兰德就说呀,就是一个人,我们经常大家会做很多道德判断嘛,比如说最近发生的罗尔事件,对吧,骗捐的啊,骗"
039,official-vimeo-m4a-partial__039__ced3f110,你什么时候才能成年 [1179725490],official-vimeo-m4a-partial,clean,0,362,3533,44c2acacd1db41d6557940c3f39f225c672377721fd28702e7d2581b2f66a753,未见明显风险,,,
040,official-vimeo-m4a-partial__040__2f219bdf,结婚这件小事 [1179725712],official-vimeo-m4a-partial,clean,0,67,4139,d19c49fb099deb53f200afd83d5271fa37671b59c38f3028217edc2e85870f82,未见明显风险,,,
041,official-vimeo-m4a-partial__041__8902d828,【90后不结婚】互联网时代的婚姻 [1179725924],official-vimeo-m4a-partial,clean,0,660,8245,553bc773cd4a2211bb77dff5076719970ef162bdf476c38323d21ed547e2cf8b,未见明显风险,,,
042,official-vimeo-m4a-partial__042__c8359174,【90后不结婚】找到正确的婚姻“合伙人” [1179726102],official-vimeo-m4a-partial,clean,0,307,4438,1a7c81dc3f9745b5fe6e43ff4fa08e808ab3ba8d859cacac2983143a6f816161,未见明显风险,,,
043,official-vimeo-m4a-partial__043__4c33cf4b,【问题】女人是不是20岁以后不结婚就会贬值？ [1179726207],official-vimeo-m4a-partial,clean,0,363,3621,8ae6d7e0554815e3150748ee1547dc3e12b71537b16e9245b19545930848d40a,未见明显风险,,,
044,official-vimeo-m4a-partial__044__4d036ffb,【问题】我们都应该追求新时代的婚姻 [1179726355],official-vimeo-m4a-partial,low,12,71,2626,be0d0c9504c2baaa8209062ceb020deed05873ab3088a87fcc78de4052df54f7,低风险留痕,连续重复,L46-L47,那么他就可以成为一个人。
045,official-vimeo-m4a-partial__045__07f4f1d1,【小结】我在35岁成年了 [1179726569],official-vimeo-m4a-partial,low,18,101,4170,700eb63fe81d5a1dc7001346ac921d552d2e89ecd97506e99cca749ecf8ffe54,低风险留痕,连续重复,L94-L101,感谢大家的热情提供
046,official-vimeo-m4a-partial__046__dbc9c66a,【小结】我要为自己而活 [1179726823],official-vimeo-m4a-partial,clean,0,93,3743,e2d762de666bfa8bbc1adc59d3f11c348de78ddb37f9f9f75ffb8711a5e4a0d0,未见明显风险,,,
047,official-vimeo-m4a-partial__047__809f0c28,【90后不买房】房子只是一个普通商品罢了 [1179727058],official-vimeo-m4a-partial,clean,0,65,2960,68db056377d603979326061c8a5e2495a2d0c46f664a59916e74839c838772d9,未见明显风险,,,
048,official-vimeo-m4a-partial__048__131d2e58,【预告】租房也可以很美好 [1179727217],official-vimeo-m4a-partial,low,7,86,3379,bc511e784c40ad8a8b59b2793fb9c9841248270a91033dfb4c45b85b86840ac2,低风险留痕,近似重复,L85-L86,"然后下面呢,我们就会根据我们的理论案例和总结,给大家仔细讲90后不买房这一期的课程。"
049,official-vimeo-m4a-partial__049__a4da2ce3,【番外】投资分享会中与粉丝交流的部分 [1179727406],official-vimeo-m4a-partial,low,4,313,6075,f362580c9810f99163add566c627f0392c6fcc5c4203316b583d3af9492cdc26,低风险留痕,行内循环,L72,就任何人告诉你说我能拿到谁谁谁的期权什么原始股绝对是骗你的
050,official-vimeo-m4a-partial__050__f9ff0b61,【案例】小王在燕郊的房子 [1179739824],official-vimeo-m4a-partial,clean,0,84,3848,182eef62599cc974d174b79265273f6a9dfbb551af783cecaa728b2186cbcb32,未见明显风险,,,
051,wavlake-mp3__051__d6f5e9d6,051 孙宇晨：谈房产投资,wavlake-mp3,low,4,244,3554,38169551b3be36cfbdc1271a23ddcc42863486ce6568d1c9297a025a682c25f6,低风险留痕,行内循环,L58,"因为它的不确定性以及竞争因素非常多,这就更需要你在每个地方方方面面都把它当作一个严肃的投资来观察来执行。"
052,official-vimeo-m4a-partial__052__c75cdd42,【90后不买房】房子户口是子女教育的门槛吗？ [1179740167],official-vimeo-m4a-partial,clean,0,4,438,41ed7fad8f021359a499e8256ee49293193df74df056946fae496d98aa7032f4,未见明显风险,,,
053,official-vimeo-m4a-partial__053__b7c092ee,【90后不买房】让我们做一个游牧民族 [1179740334],official-vimeo-m4a-partial,low,4,49,2857,beed5b30d6eb22b82d326bf1652c4e0d31d69d4399a7922c58a32a0d1c1fbfde,低风险留痕,行内循环,L20,"包括这个这个这个契丹人啊,都没有这个概念。"
054,official-vimeo-m4a-partial__054__44ea37db,【90后不买房】几个关于买房子的故事 [1179740511],official-vimeo-m4a-partial,clean,0,4,391,86cba3263cc36779b981db762cf91dbb30b739b8c41bb16cc0b07aa902d5232a,未见明显风险,,,
055,official-vimeo-m4a-partial__055__f49ce1be,【鸡年大吉】我们共同走过的2016与即将踏上的2017 [1179740680],official-vimeo-m4a-partial,low,6,145,1603,ad26d48f87507df2fd2e75980f4ab7673b311f0043c5b11d6b6b62eedb8dc24f,低风险留痕,连续重复,L143-L144,谢谢大家
056,official-vimeo-m4a-partial__056__26c9651d,【90后不买车】我为什么不买车 [1179740844],official-vimeo-m4a-partial,low,10,216,3696,3d82829bdadaed10562a28f8397a1554b5d3270822d8581abecae7a78f8758ac,低风险留痕,全文重复,"L52,L54,L56","把所有的公司需要问我的事情都问完啊,"
057,official-vimeo-m4a-partial__057__47c7ae7b,【90后不买车】外卖这件小事 [1179741021],official-vimeo-m4a-partial,low,14,327,3678,e04f3140706d9e199425cea03f1e7a360d5265a11c5b1a83fde8b561d7c55582,低风险留痕,连续重复,L158-L159,"你才能享受这样的生活,"
058,official-vimeo-m4a-partial__058__f42e9ec2,【90后不买车】我才不想“逃离”北上广 [1179741183],official-vimeo-m4a-partial,low,4,93,4585,5c1e528870979b8c1c088449b3254b37f2ae1a6fa6e86251b7efa28233840188,低风险留痕,行内循环,L88,"民国时期可能成长才能过上的生活,真是这个道理,所以我觉得从这个角度讲,当然你更过上了古代皇帝都过不上的生活,现在好多买买买啊,那个每日优先,我订个水果,一小时就送到了,你说那时候杨贵妃要吃个荔枝,多难啊,这基本是国家意志才能办到吧,但现在你"
059,wavlake-mp3__059__be99c1d2,059 孙宇晨：【番外】如何赚到自己的100万？,wavlake-mp3,low,17,76,11864,9e4f563a72cbe608af965520eab5ad58e63d9c294c4b7c8efc1f1711c688ed12,低风险留痕,近似重复,L66-L67,"就在二级市场上留给你的一个投资的机会啊,"
060,official-vimeo-m4a-partial__060__4427c6c6,【小结】掌握自己的节奏 [1179741525],official-vimeo-m4a-partial,low,4,59,4854,285f4c7d13cda2d61b84be3493d6cabb33e056c1ce3d92b1b339daf55a9f5316,低风险留痕,行内循环,L44,"不会受这道题做不做得出来而影响,我们也知道经常很多人,啊,这道题不会做,我一下拖他半个小时交卷了,结果最后时间一发下来,150分拿了75分,才得了一半,原因为什么,老师问他,他说好,做到这道题不会做,我一直在做,所以后面的都没做了,这就是一"
061,official-vimeo-m4a-partial__061__3425da45,【案例】我不买车，也很快乐 [1179741678],official-vimeo-m4a-partial,clean,0,15,589,a6d2097c5164a4e43f96ca713e8b7f69788fee19ad0de06752dce76efb08e45a,未见明显风险,,,
062,wavlake-mp3__062__51b8a2ee,062 孙宇晨：【总结】十年为期，我们来做个实验,wavlake-mp3,clean,0,461,4331,a207c362bd55d39ac5216589d08c64fbfb313b03448000d6b6990b4e6e9353dc,未见明显风险,,,
063,official-vimeo-m4a-partial__063__d4cd5332,【原始积累】复利定律 [1179742042],official-vimeo-m4a-partial,clean,0,210,2338,0602e9d6db1b8fd8748c8a4b9ec4034a9314577a788938f520d15df8d436149f,未见明显风险,,,
064,official-vimeo-m4a-partial__064__5581ff78,【原始积累】你只需要每项比平均强1% [1179742390],official-vimeo-m4a-partial,clean,0,28,1990,22ed462b652d2a4707cab1baeb6c7f2bcf448d0cc1a3e0455ed24ea9dacb79be,未见明显风险,,,
065,wavlake-mp3__065__de79041b,065 孙宇晨：【原始积累】1X50与5X10的差距,wavlake-mp3,low,4,284,2668,db057e46ed8b4c83f262779c8847d48e14abe5edd48844d89a1093a916feb81a,低风险留痕,行内循环,L106,有一个非常非常非常重要的
066,wavlake-mp3__066__b5b8e991,066 孙宇晨：【番外】新文化趋势（演讲）,wavlake-mp3,low,14,513,7994,7290406d053f1cd9fe605d494d0e81ef57f9d686a03615591ef737060b25a634,低风险留痕,连续重复,L447-L448,但是在中国都没有
067,wavlake-mp3__067__6fa7563b,067【番外】谈社交创业，毛总谈电竞文化（采访）,wavlake-mp3,low,17,269,5597,bb8e03bf3db8d362c4bd3155065c48a186867cfc50a1a63c2427868cee618ce1,低风险留痕,近似重复,L31-L32,"做陌生人社交我们的优势就大一些,"
068,wavlake-mp3__068__8931adfc,068 孙宇晨：【番外】90后会将互联网革命进行到底,wavlake-mp3,low,6,514,4479,d8f4094e109f3915705e7369f1becb6d30e56c670588b9b493f587988088870d,低风险留痕,连续重复,L345-L346,我也是
069,wavlake-mp3__069__70cef5d7,069 孙宇晨：【原始积累】一万小时定律,wavlake-mp3,low,8,242,2557,24717e2db06d328d06989274c6f593690406cbaf73c7a2e81cf048ce3460635a,低风险留痕,行内循环,L76,也就是一个个切分成一块一块一块一块
070,wavlake-mp3__070__a45f89e8,070 孙宇晨：【原始积累】反馈体系的重要性,wavlake-mp3,clean,0,299,2907,fe0622d40242cb8863f2aa48180252342e1bf3cbe9869ce705df6cceed23813e,未见明显风险,,,
071,wavlake-mp3__071__7aec9b0a,071 孙宇晨：【小结】原始积累重在“积累”,wavlake-mp3,low,18,105,2736,165b81eb26fc539cf8723aa66e862858076b7df7483dd59af4b27f6072d394af,低风险留痕,连续重复,L49-L53,"绝大多数人会高估到,"
072,wavlake-mp3__072__e0e92c38,072 孙宇晨：【番外】我为什么要写这样一本书？,wavlake-mp3,low,17,35,1565,05c520848f4362699ff0b2c269fe06c10aaf70fbb422e9a37adf605e457989ac,低风险留痕,近似重复,L32-L33,我自己的这个故事本身就是真真正正的原来的故事。
073,wavlake-mp3__073__e839750d,073 孙宇晨：【个人奋斗合法性】个人奋斗本身就是为社会做贡献,wavlake-mp3,low,19,65,3040,08ce14b06fc433549c9e178a0c44740b3173cfb2ae40f0c0a9ce024b456f71e7,低风险留痕,近似重复,L44-L45,当时就出了一个人叫马克思。
074,wavlake-mp3__074__f1f77efa,074 孙宇晨：【个人奋斗合法性】正当谋取私利是好事,wavlake-mp3,clean,0,250,2251,17453c75b9f7146a8bf8e04be797ef3d3efc14185651e36a4ef292ca0fd5c382,未见明显风险,,,
075,wavlake-mp3__075__253dded9,075 孙宇晨：【不确定性】拥抱不确定性,wavlake-mp3,clean,0,51,1819,56afe1a44c0e5aeb6cee8a3afbbb68c54eabba0f4972ca7c02539357c93ba9ff,未见明显风险,,,
076,wavlake-mp3__076__9bee36c9,076 孙宇晨：【不确定性】风险与收益并存,wavlake-mp3,clean,0,56,2449,f973f53c70885dd136c17a4ecae9d8b968b2b64543f7dec02574e358ddbc1874,未见明显风险,,,
077,wavlake-mp3__077__1eaabcfd,077 孙宇晨：谈足球与创业,wavlake-mp3,clean,0,258,3571,ed7893230a14039f42721108700f3ce864159ef0f8b1171dd6147ad108275f0b,未见明显风险,,,
078,wavlake-mp3__078__32514846,078 孙宇晨：【番外】相信折腾的力量,wavlake-mp3,medium,32,660,9835,b24f50b106f235091e3af5ab2af2751fd2dbaa3cab244eeb149d2dd8b77d8bc5,需人工复核,连续重复,L655-L662,"是不靠谱的,"
079,wavlake-mp3__079__893ed966,079 孙宇晨：新书分享与创业经验,wavlake-mp3,clean,0,179,3534,8df9be9390417ea7f537b2ae4150ba5dca9127cfe922cf796f98b31f60b50ced,未见明显风险,,,
080,wavlake-mp3__080__63763504,080 孙宇晨：【番外】毕业就创业OK吗？,wavlake-mp3,low,8,75,4907,19987509d3f312706d77e624a7dd60c74aa9675149fee9939815855103e92a5d,低风险留痕,行内循环,L48,"那可能就错过一个特别好的一个历史机遇点啊,所以我觉得其实作为老板啊,大学毕业以后做还还还还挺好啊,就是可以捕捉好这个时代浪潮点啊,控制好时间啊,"
081,wavlake-mp3__081__b0c91068,081 孙宇晨：【番外】相信选择的力量,wavlake-mp3,low,11,40,4555,4869804fbe99456fe9fe00a77102051c7c65461d3fc865a26f525c594f7047e8,低风险留痕,近似重复,L23-L24,"就是可能要尽量与学习的力量打入学识,那也不行,就是可能要尽量与学识的力量打入学识的力量,"
082,wavlake-mp3__082__3a025f97,082 孙宇晨：【不确定性】薛定谔的猫,wavlake-mp3,clean,0,60,2690,ce252960ac3319f8978dfc09946582f24b33404e5298f4196922302bf12c95c2,未见明显风险,,,
083,wavlake-mp3__083__09588e6c,083 孙宇晨：【不确定性】互联网时代的MVP,wavlake-mp3,low,10,114,2370,837a6334acda18147f48a1b571bc111cefc376eebb9469731ed83791ecdef522,低风险留痕,连续重复,L91-L92,"一直参加社团,"
084,wavlake-mp3__084__03f85399,084 孙宇晨：【不确定性】正收益系统叠加,wavlake-mp3,clean,0,107,1900,35b0dd48230ca03d4bbb2e68a8a2d9940a9dbef2891710d5f2de7a8c29b575eb,未见明显风险,,,
085,wavlake-mp3__085__59379fe0,085 孙宇晨：【不确定性】稳定就是最大的不稳定,wavlake-mp3,low,7,58,2172,5237ec8b6808fe219eca6e5a63cdd7b5059db0e89a578bcc2a0a6a875da4c56d,低风险留痕,近似重复,L27-L28,"所以,在未来这种轻量化的组织形式将成为主流的社会中,我们不能再进入这种包办式的组织协作关系了。"
086,wavlake-mp3__086__bf2c2a6d,086 孙宇晨：【不确定性】以人民的名义,wavlake-mp3,low,5,285,2490,8607132e5abcaf50b45feecf981380ed7ab93f488fdcf412cfdf4f9626615f76,低风险留痕,空行,"L286,L287,L288,L289,L290",
087,wavlake-mp3__087__7d66d39e,087 孙宇晨：【不确定性】年轻人的未来在哪里,wavlake-mp3,low,13,57,2643,96c3d4b31f443ec51b8991d00a3d6b159c387fd6f9e81e1130bf07a5a8777c79,低风险留痕,近似重复,L21-L22,"叫做一稿二稿,等于没稿,三稿四稿,刚刚起跑,五稿六稿,还要再稿。"
088,wavlake-mp3__088__7e617c7e,088 孙宇晨：【互联网】创造一个新世界,wavlake-mp3,clean,0,364,3319,dffb2183b185600419d7660f6eab730f4df61a2ac5b5706500966885f3b4a096,未见明显风险,,,
089,wavlake-mp3__089__d3afb1d1,089 孙宇晨：【互联网】虚拟打压实体？,wavlake-mp3,low,4,386,3309,e225ca6ce2b194ba7212e8bf272d4633737ff771ba1424943be455e34f49fb18,低风险留痕,行内循环,L221,我只是胡胡胡编的一个数据
090,wavlake-mp3__090__24d94908,090 孙宇晨：【互联网】远离管制,wavlake-mp3,clean,0,73,2354,e496a3fed67d9fc826cd0e3c5d246a2a0df407f88ab9da928165b97c56365f4d,未见明显风险,,,
091,wavlake-mp3__091__3633d729,091 孙宇晨：【互联网】恐怖的NGO,wavlake-mp3,clean,0,27,3136,d96b60fd2997a5ea3843fb311fbbbc414b5597fd8fc1b2b4fe7a4236ba730f1a,未见明显风险,,,
092,wavlake-mp3__092__b8b5484a,092 孙宇晨：【互联网】被放逐的高贵自由者,wavlake-mp3,low,4,329,3231,2549741072d9962d99a1c7d9b6f7a69ee839e514a87b62d8aa0920d4a79d29fc,低风险留痕,行内循环,L279,就就就命都丢了啊
093,wavlake-mp3__093__c3783dcd,093 孙宇晨：【互联网】现在进入还来得及么？,wavlake-mp3,clean,0,62,1647,d288e3053c6cb80d770b2046678199d856f873f616b89c1c756caf45749e1f46,未见明显风险,,,
094,wavlake-mp3__094__e00e6231,094 孙宇晨：【案例】从钢铁行业到互联网,wavlake-mp3,clean,0,75,2095,da68ace513e280440588c0eea6cc4a82a5b6a076f521f73253648df6027df55e,未见明显风险,,,
095,wavlake-mp3__095__3bea9fa5,095 孙宇晨：【案例】现在开淘宝店靠谱吗？,wavlake-mp3,medium,29,79,2182,24d27a39df867932f8f9583c539341834e48c110a6dfa2233ba00af989d1ea7c,需人工复核,连续重复,L27-L29,"这样算起来的话,短信其实才是更伟大的发明才对啊。"
